#{"t_start": 1775108223.686068, "env_id": "AntFH-v0"}
r,l,t
-55.697836,1000,18.041185
-121.718668,1000,42.055746
-18.530108,1000,56.190787
-47.151036,1000,78.884141
-20.470274,1000,93.538246
-7.954421,1000,118.785603
-47.627507,1000,144.156203
-82.525238,1000,159.844833
-132.327246,1000,185.17882
-18.696388,1000,200.488627
-32.926217,1000,222.394125
-27.861452,1000,246.739644
-1073.824334,1000,262.176385
-885.285788,1000,289.288412
-28.817332,1000,306.152377
-5.230691,1000,336.658291
-58.692863,1000,364.23127
-18.097075,1000,379.659099
-22.611056,1000,401.358508
-63.025995,1000,413.052886
-34.755666,1000,434.088066
-20.836145,1000,450.756482
-9.565705,1000,461.36842
-7.665685,1000,480.597847
-10.85523,1000,493.70626
-9.092498,1000,516.647515
-7.055656,1000,540.862725
-91.632165,1000,554.14234
-26.606335,1000,573.163468
-34.732022,1000,586.769181
-49.465238,1000,609.433872
-50.71269,1000,630.069137
-76.556101,1000,646.280083
-18.70074,1000,670.332667
1.193491,1000,682.961843
-64.793051,1000,704.594828
-31.648057,1000,725.842871
-45.926818,1000,741.878021
-138.007437,1000,762.323014
-75.300262,1000,778.134556
-8.805043,1000,795.986344
-44.201017,1000,815.003414
-35.71391,1000,826.311512
-65.423923,1000,844.810083
-4.872002,1000,857.215749
-42.777293,1000,874.797834
-8.895469,1000,892.427649
-95.690769,1000,904.517446
-69.338826,1000,923.229678
-36.565179,1000,936.842083
-932.521661,1000,957.129584
-11.021189,1000,975.200995
-46.52405,1000,988.431116
-62.480704,1000,1005.828183
-31.160245,1000,1018.624085
-143.991319,1000,1036.62605
-71.797835,1000,1056.874875
-1.798676,1000,1074.172042
-8.523075,1000,1092.624226
-37.233209,1000,1105.883052
-6.056507,1000,1124.626478
-45.833295,1000,1146.283393
-9.336208,1000,1158.516104
-23.899665,1000,1177.687296
-31.997406,1000,1189.501346
-42.710896,1000,1207.731618
-17.194796,1000,1226.206146
-902.482875,1000,1238.11969
-9.636214,1000,1259.583737
-9.131614,1000,1272.36509
-1011.74016,1000,1291.783444
-16.165199,1000,1308.756569
-7.273206,1000,1322.681591
-15.41408,1000,1343.653636
8.895752,1000,1356.76585
-200.14868,1000,1379.363325
-35.262391,1000,1401.483123
-25.108861,1000,1416.144377
-30.550622,1000,1438.556597
-28.217093,1000,1453.897942
-234.629376,1000,1475.637433
-39.3455,1000,1496.842134
-178.287129,1000,1511.516768
-9.079939,1000,1533.955884
-1.957339,1000,1547.254366
-42.40223,1000,1567.862354
-178.534818,1000,1588.009586
-979.059616,1000,1602.094516
-30.709717,1000,1624.003534
-83.446915,1000,1636.993264
-54.911634,1000,1659.354195
-7.777316,1000,1681.967482
-93.96683,1000,1700.001176
-134.718811,1000,1727.054723
-84.170054,1000,1741.854315
-26.712356,1000,1762.734519
-225.769719,1000,1785.010461
-137.342897,1000,1799.600183
-1097.968601,1000,1822.163231
-81.431056,1000,1836.801018
-150.091402,1000,1860.724685
8.647379,1000,1881.891338
-1041.835245,1000,1898.673601
-4.855011,1000,1923.230932
-1145.125539,1000,1937.86784
-8.440215,1000,1964.949162
-46.135351,1000,1990.774
-142.813136,1000,2006.56456
-2.868063,1000,2033.937593
-1162.496789,1000,2057.914646
-43.068152,1000,2082.210814
-28.559978,1000,2108.986408
-12.559899,1000,2121.049628
-51.824281,1000,2139.336895
9.646244,1000,2150.594472
-38.732383,1000,2171.734004
-22.341505,1000,2197.471329
-31.818417,1000,2212.439146
-83.775258,1000,2230.884782
-14.144709,1000,2242.329504
-161.518099,1000,2261.784852
-22.088088,1000,2279.805265
9.677629,1000,2292.071827
-8.995119,1000,2312.076197
-12.112279,1000,2322.791503
-11.482727,1000,2339.574723
-32.123779,1000,2357.318453
-21.515907,1000,2367.929007
-5.060378,1000,2385.915281
4.820444,1000,2397.147929
-2.975382,1000,2413.955463
-152.583993,1000,2432.11772
-129.571339,1000,2442.80322
-51.558741,1000,2460.186379
-58.05088,1000,2469.783987
-7.890644,1000,2486.862036
-3.469153,1000,2519.512748
-113.955783,1000,2536.62957
-85.11162,1000,2557.876378
0.039644,1000,2579.286956
-74.454436,1000,2611.943752
-3.876319,1000,2646.464019
-23.120241,1000,2663.535294
-18.858462,1000,2686.924277
-4.924227,1000,2705.250833
-208.376774,1000,2737.545684
-269.076545,1000,2768.617209
-17.717792,1000,2786.392417
-82.169666,1000,2823.774615
-5.961285,1000,2842.85366
-549.233585,1000,2875.971701
-11.918254,1000,2909.511763
-15.374085,1000,2925.882564
-107.578481,1000,2954.461136
4.550673,1000,2973.713046
-5.302645,1000,3001.609031
-11.102306,1000,3036.46288
-9.292211,1000,3055.146255
-193.379378,1000,3084.518734
-7.421153,1000,3099.48617
-31.501165,1000,3127.841135
-95.872965,1000,3164.086897
-14.187232,1000,3184.305298
-361.01538,1000,3220.097865
-1084.447963,1000,3238.906099
-1237.06522,1000,3271.714904
-14.536315,1000,3299.504323
-6.193849,1000,3316.880134
-26.460207,1000,3340.996185
-283.906787,1000,3355.719871
-5.985609,1000,3381.835551
-958.620146,1000,3414.535084
-6.948465,1000,3448.674768
-17.667518,1000,3487.049799
-49.171896,1000,3510.785865
-1280.931628,1000,3539.193721
-12.009452,1000,3560.916522
-115.060299,1000,3576.550228
-55.275259,1000,3600.586002
-97.957237,1000,3615.54781
-363.005431,1000,3642.033817
-7.353431,1000,3670.462065
-263.798197,1000,3697.350976
-358.731396,1000,3731.317782
-153.215455,1000,3756.274691
-339.573827,1000,3791.872498
-307.49804,1000,3835.916438
-10.725416,1000,3866.31104
-1168.762742,1000,3909.233265
-6.146145,1000,3934.6784
-834.834647,1000,3975.705462
-821.78623,1000,4019.788981
-853.611427,1000,4050.956345
-1083.115237,1000,4089.557216
