timestep,real_det_return,real_sto_return
5000,968.9237757612997,-50.646194945690475
10000,977.1233871014613,-160.16320768926215
15000,929.2866998925558,-68.4850549378949
20000,973.0249862224298,-157.22431477277627
25000,884.601286789504,-41.914959179624525
30000,973.6110761480562,-73.345133630633
35000,935.6127758501209,-52.95776606276735
40000,932.8954328469196,-67.91782285416102
45000,849.2037511826047,-89.16152788823752
50000,877.071672609999,-148.8637177082287
55000,850.0312772788687,-155.66599821748494
60000,813.0975848138117,-122.02814656191083
65000,772.887757095941,-69.33260752044936
70000,794.519246818231,-144.05141696425696
75000,795.039735180441,-242.93225282841567
80000,759.4654982830923,-39.871844999573966
85000,653.6439256472306,-41.48947692793031
90000,618.5940392763488,-36.90222392697596
95000,590.2010913906681,-45.81268501275263
100000,539.1476927497678,-148.45099428407462
105000,517.897519613572,-33.25630439114275
110000,360.5974179328422,-38.126820674279166
115000,462.3996183841543,-157.28530606116905
120000,297.9183237504809,-23.262546336622357
125000,432.896038962684,-48.58506461826771
130000,270.25208280030523,-48.690036319756366
135000,299.94527440817717,-41.385026855702186
140000,282.77178564426356,-158.79278152025296
145000,314.4655279341131,-65.30113870960461
150000,13.402256444697617,-51.4215168854026
155000,23.93373733820111,-127.1773988675
160000,66.71971535367008,-154.616212419182
165000,66.52428431367926,-135.57121209480152
170000,43.07730197570162,-46.659657146634025
175000,43.67533065650332,-230.65996060904536
180000,26.83800199086402,-36.85620417662035
185000,15.5658453853362,-138.26794350528274
190000,114.97325603320772,-33.90942197944959
195000,73.1365214304001,-30.782898362628874
200000,41.57659172898702,-129.57247012964024
205000,57.36149475613721,-34.140840300121894
210000,-1.6467957563160003,-136.39937759155404
215000,-42.3010078556886,-126.68813065876168
220000,24.876094080363064,-50.79970435667948
225000,-32.37290697450667,-54.990134947376404
230000,-27.980842960464976,-36.792674881884395
235000,-75.16148435308284,-51.82794846365308
240000,-112.08335250338378,-122.32594823978461
245000,-133.58445597782645,-262.39525213769144
250000,-109.03773249325086,-46.70821892673212
255000,-172.47504640003643,-34.34714843028089
260000,-190.96689477434532,-51.48571192221029
265000,-189.74939320825607,-149.4942401959365
270000,-125.15901718369791,-43.333647964081734
275000,-217.30789039843307,-40.02515149681005
280000,-250.48262711640479,-26.422233662525468
285000,-322.4179463347401,-32.01042739170135
290000,-215.51884536745942,-152.24128707759354
295000,-319.55444922050526,-116.91099398525964
300000,-427.7911887201465,-39.80991432000081
305000,-311.5409921358195,-52.3488475618971
310000,-281.81925606507593,-33.24670818310942
315000,-412.05023750581347,-85.37373333020886
320000,-82.48441816782166,-84.50690789187924
325000,-48.004693949499654,-47.65057498411076
330000,-97.71923276137181,-28.830996593576845
335000,-307.07572435109415,-33.59462799649127
340000,-136.83481094853283,-46.91202176875226
345000,-119.63484836669184,-62.44305032127013
350000,-189.49569719026962,-17.815562280670353
355000,-156.03142402768418,-30.4007197639359
360000,-211.3287505556625,-32.44464891460795
365000,-50.98968439527999,-140.92976869521863
370000,-102.4749522658366,-135.6845962287037
375000,-54.49690863968384,-54.19011599099214
380000,-74.55703051335344,-46.184792276112304
385000,-100.1905391326051,-112.04980303910199
390000,-106.76141471707248,-21.398225451772465
395000,-38.67446198493407,-27.77636216141189
400000,-46.11590181238131,-133.83369021163935
405000,-74.70567444572562,-122.83856627220555
410000,-43.38941756932465,-33.93018509805475
415000,-162.56012858403554,-42.47737914549896
420000,-114.10792923348224,-47.95847588924552
425000,-45.59637108776694,-127.20401625781258
430000,-89.57281316316816,-118.95432204312162
435000,-46.4035251847336,-155.31859244234676
440000,-74.20616269526235,-136.9018890195011
445000,-177.1433844591771,-44.19030338095061
450000,-141.8204145379888,-20.15427890832535
455000,-277.7063768859706,-130.6515622151316
460000,-244.18149610468404,-23.135394884866272
465000,-101.8011592540691,-156.66074312882253
470000,-76.41928458962222,-126.99386558564359
475000,-210.9093741077773,-65.20660824595356
480000,-240.96400583246805,-202.21918576858332
485000,-234.95842766377154,-43.67261958734905
490000,-605.3860946586076,-38.80219612879232
495000,-261.35514977096125,-147.95859155821276
500000,-353.5385402338531,-45.76859514423754
505000,-292.440137416937,-168.11957940753047
510000,-326.4905306216215,-27.291801294142953
515000,-134.6708328773183,-57.56163044198028
520000,-179.5910883371405,-27.610117543711585
525000,-274.21824542000724,-176.02991966399665
530000,-242.5017921592521,-30.42270799633742
535000,-345.5595363305072,-36.1738171975921
540000,-130.7445551118355,-136.7436857029499
545000,-512.5808909204104,-22.474648862333925
550000,-527.7127824508149,-144.06011528431299
555000,-470.91734051378853,-21.971133952389117
560000,-303.1153785146337,-30.645329084525343
565000,-233.21540136121956,-36.60290219527571
570000,-21.904474426680217,-39.68054654057882
575000,-172.2213652681274,-29.43216153016673
580000,-346.86625157147404,-34.296530774831
585000,-383.81267061801736,-340.4011822290807
590000,-350.38115712434205,-26.246923150640225
595000,-613.9143020202276,-138.4180825398528
600000,-857.4816646265626,-148.03633226838681
605000,-770.6025690047807,-146.37543130635072
610000,-973.2951395716661,-13.455930838884314
615000,-975.2928686047487,-16.874283282362008
620000,-1058.6452415664585,-140.9203367456983
625000,-843.7677592001377,-75.01210947907467
630000,-1277.3197329343488,-236.61644382136797
635000,-1107.3945627384705,-225.0300162351754
640000,-971.983769606027,-129.1532058249495
645000,-993.9288842542541,-41.06303421241132
650000,-760.4647190529091,-116.04525763987446
655000,-706.6013145889411,-120.12462650334496
660000,-1084.42521123328,-28.456851924300032
665000,-855.702917682532,-44.48593192400752
670000,-942.1334771597416,-272.672367585675
675000,-863.4813948496837,-221.57755765369174
680000,-760.2895791139106,-225.15456289898913
685000,-873.6271623811075,-142.26405068029163
690000,-825.7089866107187,-71.87044318631946
695000,-574.9794183872356,-121.98612335559964
700000,-831.7170726924647,-64.57723573657526
705000,-969.4410227454795,-389.02928504461397
710000,-1132.421854007323,-60.95640988634362
715000,-823.2503354364175,-149.39753427289958
720000,-737.009470806838,-44.38407003736252
725000,-1006.7227121601306,-555.4888439496133
730000,-1197.7839774237245,-133.6383211894102
735000,-1568.6847415464604,-271.397509008507
740000,-1562.9731663300502,-37.23139129220064
745000,-1382.2940794893645,-148.93278914450667
750000,-1784.413044648544,-292.7619403464647
755000,-1458.52559112165,-43.848535779604596
760000,-1255.999094545034,-159.04589675373626
765000,-1449.132249330192,-42.405724963564715
770000,-1241.4690376265203,-348.8713316030472
775000,-1172.2422561197682,-63.80560427977074
780000,-1378.575706932164,-188.87482762684138
785000,-1266.5673871767426,-144.95369913164717
790000,-1295.1679906804372,-188.5633179840057
795000,-1613.3317583526168,-259.00831988029967
800000,-1621.6697270343207,-399.43826138698495
805000,-1389.6861048987935,-284.6725881117676
810000,-708.3446019761128,-66.73746125931623
815000,-1711.1507914265972,-276.88661561490414
820000,-1362.8298341643276,-79.1544106432307
825000,-1626.75347869613,-136.12272957701984
830000,-1670.0756993761865,-216.64496531234994
835000,-1147.7170157764872,-366.3219815523728
840000,-1262.4622004708986,-74.78529160434697
845000,-1275.882920900864,-179.74900803433712
850000,-1256.3424487208283,-78.63201325644516
855000,-1275.769694070275,-311.233424384602
860000,-1615.5943973760418,-147.01201616251024
865000,-1129.6972708790079,-36.640127829732386
870000,-1632.9703125461797,-233.63849632046245
875000,-1390.1197186617735,-159.0529444883853
880000,-1409.0308806257544,-151.91307956136274
885000,-1566.718185748558,-202.8494114270738
890000,-1620.4118055990707,-80.74758000080331
895000,-1567.7219040472078,-276.6107668711759
900000,-1440.8124613104933,-48.59797957237304
905000,-1096.1945033119857,-33.80342068730562
910000,-1093.0452765211678,-289.8445281191556
915000,-1088.4717873622947,-38.31872288513192
920000,-1392.5719002516505,-52.017197147013135
925000,-1538.6662103085328,-137.86252711699512
930000,-1371.909876650457,-132.7932727021731
