#{"t_start": 1775110726.3428407, "env_id": "AntFH-v0"}
r,l,t
-151.30661,1000,21.461435
-3.441637,1000,50.262606
-120.715816,1000,69.620677
-62.006258,1000,105.266514
-29.006695,1000,129.749747
-33.847332,1000,159.513356
-22.740688,1000,187.791101
-37.380898,1000,206.31183
-43.561819,1000,239.308539
-37.350594,1000,259.782538
-66.486447,1000,287.634591
-1141.411318,1000,323.058019
-30.16615,1000,341.660486
-37.92225,1000,373.553149
-5.996225,1000,395.121766
-1115.136247,1000,421.380086
-29.546366,1000,448.846824
-7.851935,1000,466.531097
-64.867337,1000,498.729288
-42.813333,1000,520.782742
-61.877169,1000,551.238511
-943.502653,1000,580.106352
-50.689428,1000,599.080931
-31.781225,1000,630.543483
-210.135777,1000,655.028285
-23.893168,1000,689.395373
-60.254315,1000,724.57118
-66.477198,1000,744.084905
-41.159374,1000,779.856333
-65.450783,1000,801.970864
-31.278555,1000,833.632032
-78.332604,1000,862.335768
-55.183733,1000,884.316206
-18.857557,1000,933.685448
-12.707911,1000,970.188802
-7.009532,1000,1010.710166
-141.912714,1000,1042.17354
-33.454437,1000,1059.349117
-29.580725,1000,1086.658339
-94.220314,1000,1103.10999
-18.525166,1000,1130.067616
-43.670965,1000,1159.31053
-29.78605,1000,1177.496955
-185.810633,1000,1219.351722
-254.390588,1000,1242.246054
-65.994985,1000,1285.029597
-37.567033,1000,1336.301494
-1190.480433,1000,1365.255724
-16.783805,1000,1409.267709
-51.368812,1000,1434.149822
-85.225005,1000,1477.641362
-29.693807,1000,1515.227558
-88.135613,1000,1542.461803
-55.81758,1000,1577.942583
-43.950556,1000,1599.985589
-78.710888,1000,1643.249813
-1190.70537,1000,1682.400564
-1197.079218,1000,1704.634865
-143.841811,1000,1747.271031
-48.76173,1000,1774.261245
-1309.705127,1000,1819.457474
-1320.745414,1000,1869.045341
-1378.662594,1000,1898.198247
-74.312445,1000,1937.22986
-648.918131,1000,1963.171928
-1314.235203,1000,2003.119433
-1363.135127,1000,2058.471344
-41.381892,1000,2091.446209
-830.060152,1000,2140.481418
-1253.445911,1000,2168.932848
-188.509131,1000,2228.325256
-1361.971331,1000,2287.603215
-295.286438,1000,2317.161592
-1466.282954,1000,2369.883095
-89.955234,1000,2405.141521
-1582.600203,1000,2450.535452
-1475.745219,1000,2498.378752
-1611.885145,1000,2528.834789
-1541.011178,1000,2581.462793
-1581.617972,1000,2618.149771
-1563.448687,1000,2672.635267
-1625.197904,1000,2721.199782
-1653.411426,1000,2752.275255
-1587.310142,1000,2803.668764
-1608.971716,1000,2834.662161
-1578.197428,1000,2880.965377
-1563.411788,1000,2944.012053
-1574.801017,1000,2976.194347
-1564.869945,1000,3024.737328
-1553.735948,1000,3059.88529
-1503.720215,1000,3121.596885
-1432.408554,1000,3174.822841
-1423.711042,1000,3212.22601
-1411.0549,1000,3263.720021
-1367.502375,1000,3301.318979
-1333.790644,1000,3364.420485
-1307.198202,1000,3419.934338
-1248.242862,1000,3467.897004
-1239.189418,1000,3516.396947
-1199.18587,1000,3540.722013
-1143.010615,1000,3579.729881
-1137.089673,1000,3627.245211
-1102.133584,1000,3662.409917
-1084.019293,1000,3705.713965
-1006.72515,1000,3732.401976
-974.892859,1000,3768.983493
-952.745399,1000,3806.554242
-936.341144,1000,3831.079015
-930.942984,1000,3871.734613
-873.130877,1000,3893.953471
-885.978986,1000,3927.492346
-875.111284,1000,3969.074965
-879.245435,1000,3996.7321
-854.684101,1000,4032.739807
-839.225304,1000,4055.626262
-826.633958,1000,4088.024389
-812.86759,1000,4123.364972
-800.622467,1000,4145.416109
-916.713565,1000,4188.525963
-805.223211,1000,4213.41452
-807.997507,1000,4258.627748
-835.701248,1000,4298.176104
-797.783941,1000,4321.5427
-792.715266,1000,4363.523692
-766.995266,1000,4383.843455
-784.675662,1000,4419.20889
-799.410844,1000,4463.10711
-801.83467,1000,4486.698325
-802.633128,1000,4535.065514
-811.375325,1000,4565.441932
-787.60259,1000,4618.665468
-768.057053,1000,4661.942405
-760.171594,1000,4684.508132
-732.095611,1000,4717.484733
-743.120179,1000,4746.071714
-738.707922,1000,4787.870032
-728.39987,1000,4824.932876
-749.599361,1000,4851.06586
-758.168305,1000,4895.628539
-755.802177,1000,4924.377895
-731.951474,1000,4961.94613
-724.721117,1000,5004.230522
-718.323983,1000,5033.72241
-722.615962,1000,5075.990801
-743.409738,1000,5100.487225
-737.414718,1000,5134.083041
-734.005112,1000,5172.556831
-721.486434,1000,5204.099994
-717.845109,1000,5244.728886
-721.42443,1000,5264.150289
-723.88879,1000,5298.105647
-732.925226,1000,5332.175644
-725.825337,1000,5352.58055
-728.979378,1000,5386.964963
-732.287789,1000,5407.627408
-733.589722,1000,5443.320583
-735.699969,1000,5479.468285
-733.876869,1000,5501.410437
-732.430299,1000,5535.554024
-731.390931,1000,5555.575734
-734.361413,1000,5590.087337
-725.573432,1000,5624.223488
-729.309641,1000,5644.564157
-738.450575,1000,5678.20143
-728.208409,1000,5699.639757
-723.747561,1000,5733.099867
-718.523798,1000,5766.976624
-710.032004,1000,5788.397157
-703.855625,1000,5822.174391
-704.273237,1000,5842.595156
-692.898105,1000,5874.808317
-696.961744,1000,5910.41371
-690.132395,1000,5933.27336
-692.294527,1000,5967.335453
-683.000281,1000,5987.601268
-682.550189,1000,6021.620051
-668.844668,1000,6055.998797
-667.979494,1000,6077.010178
-677.537625,1000,6109.980075
-662.146,1000,6130.486132
-682.146647,1000,6163.262004
-684.794508,1000,6196.176217
-686.174254,1000,6220.143077
-694.456037,1000,6264.964221
-692.117985,1000,6290.522355
-699.736034,1000,6332.24244
-702.162922,1000,6370.464399
-706.483022,1000,6402.920137
-699.957235,1000,6464.19035
-696.548483,1000,6503.505159
-702.354071,1000,6576.927373
-692.556672,1000,6629.350264
-691.047262,1000,6673.569855
-696.774464,1000,6738.347458
-711.340169,1000,6774.685555
-700.291488,1000,6842.42633
-706.930031,1000,6908.765992
-707.082316,1000,7020.091295
-702.013454,1000,7083.422366
-703.975555,1000,7116.67005
-720.551261,1000,7180.630639
-729.453763,1000,7246.253854
-731.52464,1000,7282.182523
-722.799732,1000,7348.492918
-709.569724,1000,7388.240687
-714.274086,1000,7457.513146
-719.321172,1000,7518.981334
-718.199122,1000,7556.709001
-725.9421,1000,7614.291193
-722.885472,1000,7653.560668
-746.666636,1000,7717.192671
-714.273948,1000,7778.9674
-724.626517,1000,7827.587953
-733.555031,1000,7891.563421
-730.057363,1000,7931.349716
-730.490952,1000,7989.289605
-729.673102,1000,8052.699362
-732.538552,1000,8088.560322
-732.527739,1000,8158.806764
-739.892033,1000,8199.002301
-732.83162,1000,8272.534197
-744.030418,1000,8338.974188
-752.052354,1000,8376.421877
-749.222537,1000,8434.193702
-745.160788,1000,8478.867431
-741.231533,1000,8534.906773
-735.317106,1000,8592.006584
-732.877962,1000,8627.620938
-721.635916,1000,8686.491265
-731.37037,1000,8725.050685
-729.695584,1000,8778.227977
-730.330178,1000,8840.350748
-725.268165,1000,8884.646572
-728.264035,1000,8955.300133
-710.972686,1000,8999.694495
-703.817955,1000,9071.830666
-700.948128,1000,9152.759031
-707.572587,1000,9199.858587
-699.888631,1000,9279.297325
-691.462222,1000,9339.390763
-683.323703,1000,9442.891707
-686.002111,1000,9505.657208
-682.88252,1000,9532.649539
-685.994288,1000,9577.114882
-683.983944,1000,9610.225816
-687.782234,1000,9656.006861
-696.751973,1000,9703.933758
-698.127885,1000,9732.046751
-696.946451,1000,9778.29761
-692.604483,1000,9807.506589
-691.273269,1000,9865.902328
-688.088575,1000,9943.630307
-687.432745,1000,9983.218582
-693.557438,1000,10060.938678
-690.662041,1000,10101.900425
-689.458833,1000,10170.274838
-691.611416,1000,10237.731728
-688.786832,1000,10289.601488
-682.137688,1000,10386.029278
-668.708076,1000,10432.761053
-667.160206,1000,10505.070779
-669.161519,1000,10577.22238
-668.837345,1000,10623.463859
-660.58291,1000,10691.286725
-666.399854,1000,10734.946466
-668.586002,1000,10811.210567
-654.284755,1000,10883.158204
-656.645584,1000,10925.534389
-665.640629,1000,10995.666412
-654.260668,1000,11039.406108
-663.196939,1000,11113.318342
-673.09178,1000,11180.764756
-669.798893,1000,11225.245517
-668.428329,1000,11300.042722
-668.873232,1000,11349.186629
-676.266625,1000,11430.684263
