timestep,real_det_return,real_sto_return
5000,984.9389015078693,-149.0765376530615
10000,1003.3321869773579,-31.615352654772813
15000,993.9244349801677,-44.055451105826066
20000,981.3682135078345,-163.65463934405375
25000,984.1425458620206,-61.223298572589144
30000,951.01365285525,-82.87191582909838
35000,943.3015635065647,-64.54911431531367
40000,967.4570444922598,-71.45158345027883
45000,944.5210333354404,-75.72199321688325
50000,927.2909123745424,-149.72184747808194
55000,902.1953581673675,-54.32821486976072
60000,889.2380854758394,-66.04229035843183
65000,848.4004518708304,-131.2625589273933
70000,823.4711299250633,-43.359983417078055
75000,843.1517333607902,-82.04232074070322
80000,879.7513366756491,-144.719651849159
85000,1015.6551030730516,-35.23530464456312
90000,754.8064644138126,-47.18470981052776
95000,574.2532033618389,-248.2898819762767
100000,605.0724390372934,-248.6093441612161
105000,704.3040969013136,-155.6547180241753
110000,628.2079558817275,-150.29065022718137
115000,509.9173273948215,-23.795488108887245
120000,653.2736583079964,-194.260531742696
125000,750.8768548297378,-169.51718204006957
130000,641.4699173098815,-39.973469584766555
135000,849.4529172983797,-142.60240661344406
140000,831.0492095418315,-54.42101990828279
145000,799.3419161999066,-155.30325732659205
150000,797.4360110317087,-283.764218623768
155000,776.0833258076806,-66.55445131158919
160000,763.909700017317,-39.63658687397037
165000,784.2904801025636,-43.79372950665377
170000,748.8671571180515,-71.48557065898395
175000,738.8019633957143,-65.78616914707331
180000,730.8024713504951,-181.39289268309548
185000,692.6614871902788,-59.21487990359458
190000,691.6525401391193,-79.03718436772414
195000,667.4198328617983,-38.590701449663
200000,665.8575551210193,-77.26708046124925
205000,656.5309425759965,-47.16748696196419
210000,646.4976345133747,-29.729248039691022
215000,597.7121652789803,-160.71939436300704
220000,587.9712404803787,-155.90113543165586
225000,593.5061953324971,-44.74295315784887
230000,572.9506230912875,-63.501074296969236
235000,564.1234610577728,-64.9919100461292
240000,504.4129672266752,-168.92213963694547
245000,453.8490656943245,-268.1792758049299
250000,441.40511536781605,-241.19045099379682
255000,488.85623613330847,-150.45180504866286
260000,429.48453672465484,-50.61972798132518
265000,395.9384265232763,-62.03849528566498
270000,350.6405648321138,-181.33303412293716
275000,251.9957910310975,-254.2774098991394
280000,297.45612973354537,-73.24647321394316
285000,174.99965232359256,-93.03484958793346
290000,168.9227180544819,-145.77010653132632
295000,85.20945474119117,-133.1070647386877
300000,39.37924746525492,-295.8055569524488
305000,-55.39994276490702,-156.74982086894335
310000,-13.542751954299643,-341.6557098368197
315000,-83.54121253231371,-193.72085357191062
320000,-103.23761881675861,-179.72684303592047
325000,-90.07256322795163,-270.97293509836646
330000,-165.50266749287775,-173.38431491124973
335000,-240.72182594855516,-281.4838883116292
340000,-348.6523971146655,-86.22282130506257
345000,-329.7891727032905,-271.4830960253943
350000,-409.89512764008776,-207.5925416466524
355000,-512.0585150644008,-158.7939910499878
360000,-604.9959137707053,-32.998374777665354
365000,-686.6651463525941,-314.36272200874583
370000,-741.1121190749708,-539.3570338407196
375000,-888.5101731762549,-286.18525690087915
380000,-860.0131030339383,-283.0666832463486
385000,-1002.810656668373,-291.1281959938037
390000,-959.7190896576845,-284.35966836737884
395000,-990.4527537099326,-84.17901416974644
400000,-1075.4153123607416,-294.96581661584
405000,-1096.135092481513,-88.81678391973853
410000,-1187.2048485240953,-193.60273969404733
415000,-1147.44541477777,-199.86412291159667
420000,-1079.0876946823241,-414.9261119868417
425000,-1007.3784498249076,-365.3942154026262
430000,-972.0997526526013,-83.84407583511654
435000,-1085.3288532495967,-292.20366463274297
440000,-1028.4100413575184,-313.5997792994248
445000,-1065.7065652152546,-425.09702855139824
450000,-1140.2896665194107,-331.0418928257974
455000,-1180.7444227232347,-589.6821856823373
460000,-1199.3310101578484,-340.28725331893475
465000,-1190.8201923711126,-546.9839314768008
470000,-1295.115624168163,-447.82713680103933
475000,-1318.6783687574462,-853.6624142657789
480000,-1397.7361568575784,-317.65600418993006
485000,-1470.5019022006602,-959.7941596390449
490000,-1617.574587561875,-940.0866146278198
495000,-1608.8021252771894,-653.8816800100356
500000,-1547.5443327541575,-723.5559766142121
505000,-1538.0414868430655,-750.5619069259358
510000,-1533.1691900740639,-630.1141570935159
515000,-1539.9453613271378,-1118.6483257638597
520000,-1542.3184689127804,-697.0590163863643
525000,-1475.5129966160182,-716.0089256260111
530000,-1539.3245567017161,-1082.9675576162178
535000,-1600.3951148462554,-1211.7433771567264
540000,-1677.692482196106,-1028.8896924322376
545000,-1597.0459811217615,-976.3908636699682
550000,-1651.0642747256366,-1206.2818556512673
555000,-1653.4283239694512,-1111.6604735347678
560000,-1680.8648547630496,-1369.2427400110428
565000,-1738.76874330864,-1357.3616204454102
570000,-1659.4193237177678,-1278.3253560462767
575000,-1673.0859617790472,-1173.7811753294513
580000,-1658.3297192334478,-1346.2353112631959
585000,-1661.4616463773946,-1476.1778185357311
590000,-1619.972148444172,-1413.2567385635302
595000,-1559.732214440192,-1376.9059380936785
600000,-1521.5328635001006,-1384.8646116563589
605000,-1536.1959792782752,-1469.1629228135587
610000,-1571.1468076777157,-1495.0662205069243
615000,-1598.3712068434215,-1512.4784450028403
620000,-1572.797074186072,-1438.0539149156466
625000,-1556.5428724490762,-1491.9792068616273
630000,-1586.7308324003648,-1508.3795260086304
635000,-1682.8298882332394,-1575.5019003524162
640000,-1741.687057722113,-1584.4942249081732
645000,-1780.9499613573691,-1584.6559189757495
650000,-1880.7465670947452,-1592.8421207223637
655000,-1912.629498298973,-1600.9850884005523
660000,-1930.483141422204,-1635.0675792316918
665000,-1891.973374302425,-1626.0340069642602
670000,-1853.0995199088989,-1614.6404253999497
675000,-1829.6003609069217,-1602.5289575811234
680000,-1800.142445624584,-1580.259484547611
685000,-1782.1497455414683,-1582.295998804405
690000,-1786.4497791277317,-1564.6003409005675
695000,-1751.006018625089,-1566.906116933777
700000,-1703.696324265995,-1560.0769929194546
705000,-1720.571503383073,-1568.7878470177425
710000,-1688.8383263865258,-1554.2014267210668
715000,-1680.2980770177946,-1559.4662668521548
720000,-1636.058796016042,-1531.3916122690448
725000,-1562.083286707119,-1487.9767434935209
730000,-1524.8839864271788,-1455.2725820678547
735000,-1465.7559848556093,-1419.387263603156
740000,-1445.6621493088173,-1413.1779114567923
745000,-1469.5138554657303,-1417.7571949916987
750000,-1461.9239094657717,-1383.657375151607
755000,-1450.6265100824417,-1365.1744275168653
760000,-1428.9885216473438,-1360.6485207392166
765000,-1429.1238099193065,-1340.2317388435088
770000,-1370.737094681624,-1315.4684357357714
775000,-1359.4430521992995,-1280.4023396483362
780000,-1339.9673084820797,-1277.594191332706
785000,-1351.1886446863632,-1248.6642986280865
790000,-1346.9388655838009,-1226.6604305671365
795000,-1321.1764939153368,-1199.336134553145
800000,-1315.449399312239,-1175.0758667376606
805000,-1302.454076398863,-1157.7541780902889
810000,-1299.9100075039894,-1160.5787635092383
815000,-1235.5422975173713,-1123.1042301473176
820000,-1170.2072920296664,-1089.348954019685
825000,-1115.8926803384493,-1081.397068291649
830000,-1089.7288947627299,-1049.109052610253
835000,-1035.5677225520053,-1018.8299667107707
840000,-987.8428311163764,-979.6718386697343
845000,-1012.1033638804589,-964.9871452190831
850000,-1004.5914052919459,-954.8153009780981
855000,-973.4794627232725,-942.8496653824765
860000,-1000.399442328239,-940.820812146633
865000,-1013.1820855611288,-936.435312890509
870000,-990.2800079309136,-922.403162237393
