timestep,real_det_return,real_sto_return
8192,971.8221447258412,-150.68836906583792
16384,934.574679420744,-147.5483514478491
24576,854.5432155256908,-57.534075296425236
32768,698.6368445966461,-159.97788370313708
40960,752.8553145418862,-142.16167075249274
49152,716.1990853471573,-128.77085623645402
57344,621.0570083806505,-145.45947015950304
65536,552.1978377660154,-170.09577483049327
73728,544.3411516277919,-129.42604681638284
81920,573.0515037201027,-139.41639419633694
90112,415.1259308894873,-102.53123149552115
98304,394.5832818070313,-183.39460051784044
106496,106.52973749287466,-137.6829759844102
114688,-183.54420475517662,-177.43558623915627
122880,-504.5820913181891,-204.11621801654985
131072,-907.1181568992662,-239.4681085890014
139264,-742.2464655992964,-242.28599707995673
147456,-975.9975918280517,-142.4520230797882
155648,-1120.9920172393959,-222.62422597933585
163840,-1218.9878415350952,-226.85269835550454
172032,-1213.2075899361998,-322.0168645989368
180224,-1471.2009151758525,-438.20938767781087
188416,-1909.2900015519097,-703.9347191097477
196608,-1907.98581719878,-716.5062411435049
204800,-1977.0224612534532,-659.9633191621383
212992,-2118.769347584995,-1075.8944054817784
221184,-2236.357569457012,-866.2147424193967
229376,-2180.6575313136154,-1011.3234740773737
237568,-2191.3874474355343,-966.5656686692522
245760,-2082.165615048705,-921.6287546546928
253952,-2134.8315769717474,-893.6732810155913
262144,-2211.963111714735,-1172.6940572987633
270336,-2291.937330111111,-1277.6349970859224
278528,-2567.631084907389,-1536.7691767002727
286720,-2720.3031753265363,-1629.7375801051946
294912,-2831.6071520042665,-1634.6418308329035
303104,-2617.3346189773256,-1417.644116491684
311296,-2792.7143048223825,-1643.516706338544
319488,-2640.9464997910586,-1304.2878768800767
327680,-2629.958320218076,-1729.17835888587
335872,-2599.4224198264837,-1831.230522054395
344064,-2580.981213311077,-1637.5505566268757
352256,-2518.52880119331,-1603.520440111249
360448,-2383.1741430074017,-1659.2791768965146
