timestep,real_det_return,real_sto_return,alpha
1,995.5194875217672,-95.06256670005234,0.2
5001,313.79445996297807,-100.01207133869488,0.2
10001,162.99580301762427,-154.76008245297925,0.2
15001,439.37605573357075,295.2736532802154,0.2
20001,426.9469826913417,316.447692533679,0.2
25001,315.6431839658068,84.54552213056836,0.2
30001,487.461379722533,184.80293991740805,0.2
35001,1233.3245289616373,730.0306460888456,0.2
40001,657.7030031376174,471.96170475571745,0.2
45001,943.3277736701391,758.6866315970483,0.2
50001,683.2817690152808,515.0769708937129,0.2
55001,1698.3211638625987,2017.4813505893303,0.2
60001,2302.7782244495093,1692.8131796228158,0.2
65001,1846.3256557880984,2067.059408783581,0.2
70001,2739.3603533096875,2657.600601260457,0.2
75001,1630.3243589328238,1534.837530272381,0.2
80001,2964.336445941567,2860.976457845467,0.2
85001,2590.172750318067,1932.2165860219818,0.2
90001,2286.070515744211,1308.2494024027806,0.2
95001,2838.6433911368517,2383.3139562820097,0.2
100001,2708.2608827321965,1650.2328086839448,0.2
105001,3119.983165452054,2515.3210926034158,0.2
110001,3445.916051201806,2883.058833003458,0.2
115001,3859.7915405561043,1744.7854987187106,0.2
120001,3011.725851307992,3305.0839584118885,0.2
125001,3209.6469282159296,2370.228751228744,0.2
130001,3698.984091628915,2403.582908267106,0.2
135001,2937.200680966146,2322.986568238885,0.2
140001,3657.1026871958543,2847.616748486188,0.2
145001,3635.1978088605624,3263.7016999161233,0.2
150001,3875.820717414902,3778.4363130878955,0.2
155001,3976.1719408550985,3392.755336566034,0.2
160001,3460.620077587277,2911.7029762219836,0.2
165001,2996.2006651220945,2198.406981895619,0.2
170001,3429.0165686425817,3114.567848908996,0.2
175001,4124.017546456487,2571.452079387035,0.2
180001,3883.322061736216,3613.833342876375,0.2
185001,3988.817196343677,3097.76155090603,0.2
190001,3641.8271611354803,3833.471374008926,0.2
195001,3135.7230940925306,3620.3303379166,0.2
200001,3990.220024396939,3555.0346643277007,0.2
205001,4184.358666063441,4027.387518071413,0.2
210001,4113.964079657593,3376.1397869528273,0.2
215001,3375.881046573269,4035.7788659046737,0.2
220001,4758.388018056978,3659.2937980228367,0.2
225001,4300.828507023842,3726.7353888871235,0.2
230001,4501.509586127078,3303.7351215589138,0.2
235001,4701.903153591424,4291.540574086799,0.2
240001,3992.055658443507,3618.5515973245056,0.2
245001,3699.457994872191,2795.6428062612486,0.2
250001,3925.544790749427,3973.703932787429,0.2
255001,4151.450792012213,3078.4426461798157,0.2
260001,4815.73846882804,4085.5377068215384,0.2
265001,4032.1206753297984,3930.600887077659,0.2
270001,4518.690561575622,3349.821046733729,0.2
275001,4316.39467499788,4152.049453687891,0.2
280001,4342.35842890944,4421.754322332277,0.2
285001,3969.360069481979,4177.416217613613,0.2
290001,4208.062058234047,3706.454878986619,0.2
295001,4479.070243020912,3688.914438492531,0.2
300001,4445.201268717511,4184.0866064337915,0.2
305001,4425.121558337754,4487.024701986424,0.2
310001,4295.024070559965,4218.01568548234,0.2
315001,4305.5618855685625,3788.2654305789997,0.2
320001,4882.022983673887,3721.725442914024,0.2
325001,4227.1820858713645,3959.752785569987,0.2
330001,4267.437544433997,4086.7342500354243,0.2
335001,4549.829372614031,4346.250156839873,0.2
340001,4674.997243877833,4091.0761050862043,0.2
345001,4038.3006549071897,4884.769221486963,0.2
350001,4959.195376524562,4086.310312423336,0.2
355001,2293.3349894807398,3430.145966355958,0.2
360001,4737.030683560603,3820.733768485878,0.2
365001,3511.4435294222385,4465.476829535687,0.2
370001,4067.107138131972,4307.084168714814,0.2
375001,4533.238292690701,4689.330604025626,0.2
380001,4652.117292077738,3874.696919712898,0.2
385001,4922.981996082219,3935.270524885645,0.2
390001,3755.814255140439,4317.633605651855,0.2
395001,4466.524881559081,4683.866850635108,0.2
400001,-2518.7318944415774,-1959.8402635640498,0.2
405001,-1320.2027741494558,-1944.4154931968308,0.2
410001,-1884.5043617471358,-2125.049185702569,0.2
415001,-565.2590721787616,-75.24590636364624,0.2
420001,-1252.5397563018116,-1010.5581640141348,0.2
425001,-1960.1720601463417,-2204.1704384865034,0.2
430001,-810.622725295002,-1123.9133021377736,0.2
435001,-1956.9501314009808,-1776.4136341070655,0.2
440001,-1711.564489818738,-1677.3278574510077,0.2
445001,-2009.1486335886195,-2212.1141880104715,0.2
450001,-539.9655197142687,-1021.6499415773717,0.2
455001,-922.0932980086225,-1150.847123855388,0.2
460001,-995.1443334261569,-1076.399920353456,0.2
465001,-1455.3388063275593,-1244.721477755923,0.2
470001,860.5554823720507,194.88213496985531,0.2
475001,1018.2770486558641,101.78619841981931,0.2
480001,267.2577688238099,480.75507706755826,0.2
485001,202.3018767903036,528.0975373838006,0.2
490001,2723.6471746555117,2092.6925838560132,0.2
495001,2130.0111587990145,712.024379496649,0.2
500001,1421.3373684609044,1834.6233964306957,0.2
505001,3513.595209666848,3105.9039052497055,0.2
510001,3732.7878035425756,3088.8887305528765,0.2
515001,4079.1858815610694,3060.107433395078,0.2
520001,3676.8921130054723,2043.810341409015,0.2
525001,2980.4732675892346,2973.450031252169,0.2
530001,4020.3291677759685,4384.350874339856,0.2
535001,4500.699571048777,3848.8951343473027,0.2
540001,4391.028733641752,3963.300203485567,0.2
545001,2947.4412023024315,3304.101771756261,0.2
550001,4588.024675599032,3542.438802680801,0.2
555001,4154.420493247647,3042.38691375106,0.2
560001,4337.993243970903,3514.792740426509,0.2
565001,4451.059677921115,3107.202403920483,0.2
570001,4450.0484449066635,4169.936094334643,0.2
575001,5028.662550083046,4425.9999981832,0.2
580001,4836.041622810482,3868.069878766343,0.2
585001,4856.3008912815885,4205.221689203425,0.2
590001,4880.866045056713,4399.177280972226,0.2
595001,4094.843780362564,3837.3976176889614,0.2
600001,4911.704935359394,4701.209934162047,0.2
605001,4942.55050954897,4375.741618025024,0.2
610001,4804.46137527631,4557.397708597081,0.2
615001,4752.526590770014,4233.520873614084,0.2
620001,4480.003366289734,4450.119568678032,0.2
625001,4777.172556002241,3410.4278373602515,0.2
630001,4804.95915031077,4084.7658578258647,0.2
635001,4749.678202034831,4167.594506676104,0.2
640001,4937.14834330313,3646.27978011273,0.2
645001,4444.406923414791,4608.903887240712,0.2
650001,4838.566336440394,4771.856776986775,0.2
655001,4375.005226007845,4380.733456154843,0.2
660001,3911.7326131886593,2691.437558446166,0.2
665001,3623.102047682889,3053.3133724081163,0.2
670001,4335.2972159336505,4279.228626500377,0.2
675001,4603.250099770734,4808.963530505805,0.2
680001,4917.172917229045,4686.057310850012,0.2
685001,4860.255851329002,4747.060696951684,0.2
690001,4533.281561952617,4642.654800481194,0.2
695001,4885.803482114838,4621.01100291182,0.2
700001,4913.344126997394,4786.237702917058,0.2
705001,5028.157850333449,4677.1491232025855,0.2
710001,4663.156890096949,4564.761551658612,0.2
715001,4973.917187161032,4115.414657339266,0.2
720001,4834.885379593525,4154.35171454948,0.2
725001,4779.831349518133,4809.7253971765085,0.2
730001,5084.401105656217,4940.970595549987,0.2
735001,3221.5926418799386,3429.0639807223306,0.2
740001,5150.164517986438,4430.016082599881,0.2
745001,5090.840842088096,4863.133561671959,0.2
750001,5149.885845708863,4921.311456059732,0.2
755001,4246.853441566161,2773.9942322315096,0.2
760001,3910.458309956656,4698.470332456928,0.2
765001,4514.4627266020625,4568.427024611584,0.2
770001,4536.16541166399,3937.9126351568475,0.2
775001,5076.029011357585,3840.9064333954584,0.2
780001,5074.489035725155,4369.222679482594,0.2
785001,4444.165114930372,4880.3240161993435,0.2
790001,5207.829632450627,5021.3222758509455,0.2
795001,4920.455511665193,3768.705888271021,0.2
800001,4207.163441649349,4103.667753225602,0.2
805001,4982.806075094586,4313.154073903979,0.2
810001,4532.757670813029,4168.230587700069,0.2
815001,4974.814298769774,4819.0338871632275,0.2
820001,4894.317786634222,4602.991231220416,0.2
825001,4535.2534667214,4660.094521834559,0.2
830001,5200.77591943288,4938.166009084829,0.2
835001,5078.109310815339,4949.190098555122,0.2
840001,4605.673766227627,4634.866941922119,0.2
845001,5105.964765872943,4334.570200114278,0.2
850001,4925.041445987045,4465.973567406455,0.2
855001,4963.331260291869,4508.3532783401115,0.2
860001,5113.723707869236,4871.750179800409,0.2
865001,4636.557632462991,4706.041875996105,0.2
870001,4863.156516563343,4524.782864390692,0.2
875001,5155.697858260489,4348.361542448427,0.2
880001,5381.847547652356,5178.678415774833,0.2
885001,5015.372896584269,4065.247098796807,0.2
890001,3351.660062988466,3996.3591920214035,0.2
895001,4495.82963586975,4058.2382779159184,0.2
900001,5084.939381458854,4890.357193494007,0.2
905001,5099.999642244641,4807.312951931696,0.2
910001,5315.559121662697,5029.421023967805,0.2
915001,5205.154206716009,4858.186428496598,0.2
920001,5314.819823086133,5082.467481280751,0.2
925001,5224.264478530605,4967.370302189725,0.2
930001,5075.7980983773505,4101.8252538981515,0.2
935001,4552.28117391847,4826.149773630021,0.2
940001,5311.94226996281,5035.375664224305,0.2
945001,5302.482816605599,4492.348847162227,0.2
950001,5264.64367705168,4773.353149627177,0.2
955001,5087.76281006793,4764.875988446509,0.2
960001,4984.730422655783,4901.360609762347,0.2
965001,4574.664309352074,4407.763114157089,0.2
970001,5310.864837710611,5033.380679436631,0.2
975001,4441.754716465077,4752.459418602116,0.2
980001,4844.867553695172,4694.438890665635,0.2
985001,4334.6246704438545,4747.34390640343,0.2
990001,4923.420198584559,4332.73217061392,0.2
995001,5049.628053688546,5012.516788828272,0.2
1000001,5214.087645335983,4993.715495559028,0.2
1005001,5075.883736548152,4895.370006806881,0.2
1010001,4826.916204365951,4708.623571027144,0.2
1015001,5187.267453638536,4944.435019847115,0.2
1020001,5280.279824054081,4922.923603415182,0.2
1025001,4912.326035780498,4711.374224896761,0.2
1030001,5212.254610461921,4753.50778762932,0.2
1035001,5382.832697147411,4656.399861730827,0.2
1040001,5425.992762540522,4082.3245247627433,0.2
1045001,5412.1528041142865,5121.103964942427,0.2
1050001,5324.529784638236,4728.434856372876,0.2
1055001,4729.228444825637,4914.639570105461,0.2
1060001,5202.386864333288,4988.982250130694,0.2
1065001,5443.12151715539,4127.309625938082,0.2
1070001,5044.528644509224,4227.88858431862,0.2
1075001,5183.753844588397,4734.301053175986,0.2
1080001,5330.835147049516,4445.5138333397035,0.2
1085001,4943.804051084281,4376.153476801164,0.2
1090001,5334.061032340747,4655.717973723853,0.2
1095001,5164.025013918237,4152.370997000628,0.2
1100001,4758.283917695603,3746.5183883128693,0.2
1105001,5274.454023905215,5149.244763663306,0.2
1110001,5299.756288281259,4979.250398712676,0.2
1115001,5405.124058403285,5057.595600316846,0.2
1120001,5351.613515105311,5013.7408912063565,0.2
1125001,5399.913035959902,5025.328098300319,0.2
1130001,5027.152953835134,4888.025497841225,0.2
1135001,5379.601756588841,4582.057773629145,0.2
1140001,4432.23659701085,4539.560398434742,0.2
1145001,5232.224797982416,4987.846353182485,0.2
1150001,5069.106909713545,4578.214071287277,0.2
1155001,5139.208032444641,4713.330034747454,0.2
1160001,5360.013679329246,4809.23457708987,0.2
1165001,5227.338244070583,4435.695797547325,0.2
1170001,5188.282674445872,4117.4209185967175,0.2
1175001,5167.170125327253,5020.627851569763,0.2
1180001,4178.58943917767,4651.087818285064,0.2
1185001,5303.900719322928,4534.321695900895,0.2
1190001,5326.1750305380865,5100.840427688144,0.2
1195001,4908.263119892227,4813.928391973849,0.2
1200001,5330.170656912569,5135.32737699508,0.2
1205001,5460.6863663704335,5126.245905197715,0.2
1210001,5030.409609265876,5078.603315166338,0.2
1215001,5521.32065122144,4584.69764491382,0.2
1220001,5280.9931380248945,4465.602869205691,0.2
1225001,5062.357302277504,4825.132698567986,0.2
1230001,5302.868858148623,5045.601015518959,0.2
1235001,5149.999143850631,4921.734112034591,0.2
1240001,3389.82674487279,4071.1552565469865,0.2
1245001,4851.598936834365,4681.808387824523,0.2
1250001,5405.874554537082,4875.550025818024,0.2
1255001,5293.901121796023,4944.958456514965,0.2
1260001,5367.429303303317,4315.622376788284,0.2
1265001,5081.826549767172,4050.1857117587692,0.2
1270001,4358.668626260818,4816.418487674289,0.2
1275001,4949.215298920598,5062.334150691751,0.2
1280001,5307.328506349692,4570.719493316629,0.2
1285001,5214.975438306329,5059.442323909841,0.2
1290001,5217.193693130976,4446.145877906298,0.2
1295001,5476.792158878209,5090.498595528111,0.2
1300001,5470.578640013186,4933.307681833799,0.2
1305001,5380.3314855046465,5082.446299938935,0.2
1310001,5434.8243308387555,5148.942589554367,0.2
1315001,5270.559156827828,4907.478861261517,0.2
1320001,5248.647298363228,4927.149033319403,0.2
