timestep,real_det_return,real_sto_return
8192,108.16362744044966,27.880381549498498
16384,89.32859378787951,27.621716281470423
24576,82.77774593333974,42.149509094144186
32768,84.94340077756074,46.30166782264041
40960,79.73667283814129,42.29633667309251
49152,83.18435801229188,111.35274913388596
57344,86.80966178506284,126.69830602037966
65536,99.34615647055935,139.1281432740853
73728,1028.7661168068837,174.72001893749785
81920,1026.2754836791858,199.80947606036932
90112,1023.0048472700022,177.38859691585571
98304,1021.0002869552669,294.5397188997111
106496,1021.2558819750066,292.59599591246393
114688,1017.6047560594783,585.4274197421768
122880,1013.3391733376881,445.0795666471892
131072,1011.6913839488673,645.0201584238157
139264,1011.4239570053218,807.4409671383041
147456,1008.6648865596453,914.5046909889594
155648,1007.3863624922717,982.1993081443339
163840,1005.8591878401099,990.2430305535529
172032,1005.382553407888,1014.4963392922034
180224,1004.7873607892732,1007.308277780314
188416,1003.7975766693186,1005.5121070134777
196608,1003.2408791031525,1004.8457312564727
204800,1004.081782575497,946.948825597798
212992,1004.1102902987772,1006.8933088265969
221184,1004.2199726451183,1007.9781626388078
229376,1003.7854536288609,1006.5828112860381
237568,1004.3310335612407,1007.659592489142
245760,1004.4415113473102,1006.3280998580376
253952,1003.8413618794405,1002.1912075736003
262144,1003.0484116183694,1003.4712842899856
270336,1003.5502074782502,1008.4930554345499
278528,1003.0812756349972,1007.0754661664294
286720,1002.7472794614672,1005.0768976669033
294912,1002.3767641497622,1006.1251110924298
303104,1003.1840924877736,1007.5943926559064
311296,1003.145871859497,1006.0281153920363
319488,1003.1204073113389,1009.4016662399952
327680,1003.2115304189517,1008.0766779816917
335872,1003.3934978990612,1006.9460927313091
