timestep,real_det_return,real_sto_return,alpha
1,996.7058489675298,-44.22893085911899,0.2
5001,171.73101876862023,-332.5191889717212,0.2
10001,-43.692240071845944,-153.5285549879988,0.2
15001,356.61654255938413,16.598517725199216,0.2
20001,429.09323903472466,137.94909351827113,0.2
25001,519.2297910120509,143.38404833847792,0.2
30001,593.9317545199305,203.7594971360031,0.2
35001,938.1760842319511,531.9652359446561,0.2
40001,674.7868585040266,508.534068824111,0.2
45001,1519.5289812281578,894.0748716090732,0.2
50001,1081.5989738700823,939.0740848875105,0.2
55001,1448.0770467867956,1508.2249252349316,0.2
60001,2131.213775111675,1752.2665813837534,0.2
65001,1042.8931077935597,893.9109815027026,0.2
70001,1487.594272927248,1047.3084499169377,0.2
75001,1888.1909097268685,1105.450431634227,0.2
80001,2134.246872047756,2075.159329354121,0.2
85001,2136.5408337312865,1988.0611964458199,0.2
90001,1913.0718845070708,1989.8494459323938,0.2
95001,2900.04445295559,2360.8742917143454,0.2
100001,2741.8032902817686,1715.1692715060872,0.2
105001,3206.638398400822,2418.390883844569,0.2
110001,923.2478948657279,1155.178413270852,0.2
115001,3201.64702186106,2386.63620131327,0.2
120001,2741.317904173028,2188.088689906473,0.2
125001,1938.7622374931784,1481.7026334510713,0.2
130001,2161.615880069313,1699.5209938933392,0.2
135001,2944.053014785163,2138.3790130647294,0.2
140001,3470.5205954826647,3417.9985562471447,0.2
145001,3836.3453516730106,2875.870738855704,0.2
150001,3839.8218231697692,3170.219760718201,0.2
155001,3880.5276452364915,2906.204714065992,0.2
160001,1902.387725164092,1244.8625934201098,0.2
165001,4336.013832435568,3283.5331602455235,0.2
170001,3798.576989033188,3296.346145579886,0.2
175001,2809.983384774946,2336.7611267579755,0.2
180001,4244.084195402739,3665.2908823502758,0.2
185001,4024.5638218041227,3795.460291056255,0.2
190001,3049.9548121329085,2316.732536384442,0.2
195001,4247.973325204117,3358.759325875539,0.2
200001,3933.0302916356195,3549.869849448085,0.2
205001,4758.996578202442,3569.0933987346857,0.2
210001,2953.58666866942,2668.2227671199103,0.2
215001,4364.472230097648,3816.6667505823884,0.2
